YĪN YĪN,Maastricht,no data,2017,nan,no data
Hermes Croatto,Puerto Rico,no data,no data,nan,male
Reyna Tropical,Los Angeles,no data,2016,nan,no data
Cathedral,United Kingdom,Coventry,1989,True,no data
Technicolor Fabrics,Mexico,no data,2007,nan,no data
Celia Cruz,Cuba,La Habana,1925-10-21,True,female
María Becerra,Argentina,Quilmes,2000-02-12,nan,female
La Lá,Peru,no data,no data,nan,female
Aloisio,no data,no data,no data,nan,male
Pahua,Mexico,no data,no data,nan,female
no data,no data,no data,no data,no data,no data
La Maquinaria Norteña,no data,New Mexico,2006-04,nan,no data
Justin Quiles,Puerto Rico,Bridgeport,1990-03-29,nan,male
MaryOla,San Juan,Puerto Rico,2017,nan,no data
Paulo Londra,Argentina,Córdoba,1998-04-12,nan,male
TOLEDO,Brooklyn,no data,no data,nan,no data
Angel Heredia,no data,no data,no data,nan,male
Eduardo Meana,Argentina,no data,no data,nan,male
Gustavo Voz Perdida,no data,no data,no data,nan,no data
Gomez,United Kingdom,Southport,1996,nan,no data
Bobui,Ciudad de México,Colima,2018-01,nan,no data
Kim Loaiza,no data,no data,no data,nan,female
Dragon,New Zealand,Auckland,1972-01,nan,no data
Sr. Langosta,San Juan,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Beret,Spain,Sevilla,1996-07-02,nan,male
Migrant Motel,no data,no data,2017,nan,no data
Barrio Lindo,Argentina,no data,no data,nan,male
Clinic,United Kingdom,Liverpool,1997,nan,no data
Bucks Fizz,United Kingdom,United Kingdom,1981,nan,no data
no data,no data,no data,no data,no data,no data
Ela Taubert,no data,Bogotá,2000-11-11,nan,no data
Vaya Futuro,Mexico,Tijuana,2008,nan,no data
Kano,United Kingdom,East Ham,1985-05-21,nan,male
Various Artists,no data,no data,no data,nan,no data
Mexican Institute of Sound,Mexico,Ciudad de México,2004,nan,no data
Lorelle Meets the Obsolete,Mexico,Guadalajara,no data,nan,no data
La Perversa,no data,no data,no data,nan,female
Katrina and the Waves,United Kingdom,Cambridge,1981,True,no data
Calibre 50,Mexico,Mazatlan,2010,nan,no data
Tan Cologne,Taos,no data,no data,nan,no data
Adriel Favela,United States,San Francisco,1992-08-26,nan,male
Giorgio Moroder,Italy,Urtijëi,1940-04-26,nan,male
Renee Goust,no data,no data,1986,nan,female
El Otro Yo,Argentina,Buenos Aires,1988,nan,no data
no data,no data,no data,no data,no data,no data
Regal86,Mexico,no data,no data,nan,male
Franz Kaida,Austria,no data,1942,nan,male
no data,no data,no data,no data,no data,no data
Mementut,Mexico,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Sanchez,Jamaica,Kingston,1964-11-30,nan,male
Plaza Francia,France,no data,no data,nan,no data
The Beatles,United Kingdom,Liverpool,1960,True,no data
Jennifer Lopez,United States,The Bronx,1969-07-24,nan,female
Nhii,no data,no data,no data,nan,no data
Sailawway,no data,no data,no data,nan,no data
Kenya Grace,United Kingdom,South Africa,no data,nan,female
Brray,Puerto Rico,no data,1992-09-19,nan,male
Restavrant,United States,Los Angeles,no data,nan,no data
Cheo Feliciano,Puerto Rico,Ponce,1935-07-03,True,male
Maluma,Colombia,Medellín,1994-01-28,nan,male
Abraham Dorta,Arecibo,Puerto Rico,no data,nan,male
Jonna Torres,Puerto Rico,San Juan,1993-10-27,nan,male
Dua Lipa,England,London,1995-08-22,nan,female
Café Tacvba,Mexico,Ciudad Satélite,1989,nan,no data
no data,no data,no data,no data,no data,no data
Sun Ra,United States,Birmingham,1914-05-22,True,male
Christian Nodal,Mexico,Sonora,1999-01-11,nan,male
MPeach,Caracas,no data,no data,nan,female
Bret Schneider,United States,Cleveland,1981,nan,male
Tokischa,Dominican Republic,Puerto Plata,1996-03-17,nan,female
Samuel Sagan,no data,no data,no data,nan,male
Sueco,United States,Los Angeles,1997-01-28,nan,male
no data,no data,no data,no data,no data,no data
The Nobility,United States,Nashville,2006,nan,no data
Orlando Contreras,no data,Cuba,1930-05-22,True,male
Renn,no data,no data,no data,nan,no data
Joey Montana,Panama,Chiriquí,1982-05-03,nan,male
Lit Killah,Buenos Aires,Buenos Aires,1999-10-04,nan,male
Hexagrams,Mexico,no data,no data,nan,no data
James Cotton,United States,Tunica,1935-07-01,True,male
D.I.,United States,Fullerton,1982,nan,no data
Cherry Poppin’ Daddies,United States,Eugene,1989,nan,no data
311,United States,Omaha,1988,nan,no data
Riviera,Germany,no data,no data,nan,no data
Elisa Tokeshi,no data,no data,no data,nan,no data
Natalia Lafourcade,Mexico,Coatepec,1984-02-26,nan,female
Animal Collective,United States,Baltimore,2000,nan,no data
Selma Oxor,Mexico,no data,no data,nan,female
Sensa,no data,no data,no data,nan,no data
Shoeg,no data,no data,no data,nan,no data
Omar Romero,no data,no data,no data,nan,male
Mon Laferte,Mexico,Viña del Mar,1983-05-02,nan,female
D3ndron,no data,no data,no data,nan,no data
Lasso,Venezuela,Caracas,1988-02-18,nan,no data
Joan Baez,United States,Staten Island,1941-01-09,nan,female
Alberto Cortez,Argentina,Rancul,1940-03-11,True,male
Easy Easy,Guatemala,no data,no data,nan,no data
Marx Haübey,no data,no data,no data,nan,no data
Zzoilo,Spain,Valencia,2000-06-29,nan,male
Micro TDH,Venezuela,Mérida,1999-04-14,nan,male
