Linkin Park,United States,Agoura Hills,1996,nan
Black Sabbath,United Kingdom,Birmingham,1968-09,True
Parmalee,United States,no data,no data,nan
The National,United States,Brooklyn,1999,nan
Paramore,United States,Franklin,2004,nan
Fall Out Boy,United States,Wilmette,2001,nan
The Beatles,United Kingdom,Liverpool,1960,True
Unknown Mortal Orchestra,Portland,Auckland,2010,nan
Big Daddy Weave,United States,Mobile,2002,nan
blink‐182,United States,Poway,1992-08-01,nan
Empire of the Sun,Australia,Sydney,2006,nan
Slightly Stoopid,United States,San Diego,1995,nan
X Ambassadors,United States,Brooklyn,2008-10-22,nan
MAN WITH A MISSION,Japan,Tokyo,2010-03-07,nan
The Elovaters,Boston,Boston,2018,nan
100 gecs,United States,St. Louis,2015,nan
George Jones,United States,Saratoga,1931-09-12,True
Daughtry,United States,no data,2006-07-10,nan
Crowder,United States,no data,1971-11-29,nan
Rawayana,Venezuela,Caracas,2007,nan
From Ashes to New,United States,Lancaster,2013-05-26,nan
Phillip Phillips,United States,Albany,1990-09-20,nan
Jordan Feliz,no data,Clovis,1989-03-15,nan
Autograph,United States,Pasadena,1983,nan
The Who,United Kingdom,London,1964-02,nan
Foghat,United Kingdom,London,1971,nan
Tenacious D,United States,Los Angeles,1994,nan
Skindred,United Kingdom,Newport,1998,nan
Thirty Seconds to Mars,United States,Los Angeles,1998,nan
So!YoON!,South Korea,Jecheon,1997-05-23,nan
Self Deception,Sweden,Stockholm,2007-11-27,nan
no data,no data,no data,no data,no data
NEEDTOBREATHE,United States,Seneca,2000,nan
Disturbed,United States,Chicago,1996,nan
Walk off the Earth,Canada,Burlington,2006,nan
Chris Janson,United States,Perryville,1986-04-02,nan
Bee Gees,United Kingdom,Redcliffe,1958,True
Daft Punk,France,Paris,1993,True
Expendables,New Zealand,Christchurch,no data,True
In Flames,Sweden,Gothenburg,1990,nan
Nick Phoenix,United Kingdom,London,1967,nan
BABYMETAL,Japan,Tokyo,2010-11-28,nan
Wham!,United Kingdom,Bushey,1981,True
Aimer,Japan,no data,no data,nan
Bull of Heaven,United States,no data,2008,nan
Drive‐By Truckers,United States,Athens,1996,nan
Twin Tribes,Brownsville,no data,2017,nan
Greta Van Fleet,United States,Frankenmuth,2012,nan
The Strokes,United States,New York,1998,nan
Finger Eleven,Canada,Burlington,1996,nan
Bill Evans,United States,Plainfield,1929-08-16,True
We Are Messengers,United States,Monaghan,2015,nan
Green Day,United States,Berkeley,1989,nan
Bleachers,United States,Bergen County,2013,nan
Mac DeMarco,Canada,Duncan,1990-04-30,nan
Dogpark,New York,no data,no data,nan
The Revivalists,United States,New Orleans,2007,nan
Foo Fighters,United States,Seattle,1994,nan
grandson,Canada,Englewood,1993-10-25,nan
Slowdive,United Kingdom,Reading,1989-10,nan
Nothing But Thieves,United Kingdom,Southend-on-Sea,2012,nan
Mustard Service,Miami,Miami,2017-06-17,nan
Harry Was Here,United States,United States,no data,nan
Charlie Worsham,United States,Jackson,1985-09-01,nan
Steve Miller Band,United States,San Francisco,1967,nan
ONE OK ROCK,Japan,Tokyo,2005-04,nan
Sum 41,Canada,Ajax,1996,nan
American Authors,United States,Boston,2006,nan
feeble little horse,Pittsburgh,Pittsburgh,2021,nan
花冷え。,Japan,Tokyo,2015-06,nan
Matthew West,United States,Downers Grove,1977-04-25,nan
Survive Said The Prophet,Japan,Tokyo,2011-08,nan
Jason Isbell and the 400 Unit,United States,Muscle Shoals,2009,nan
Queens of the Stone Age,United States,Palm Desert,1996,nan
LiSA,Japan,Seki,1987-06-24,nan
K.Flay,United States,Wilmette,1985-06-30,nan
Manchester Orchestra,United States,Atlanta,2005,nan
Moon Taxi,United States,Vestavia Hills,2006,nan
Rebounder,no data,New York,2018,nan
ネクライトーキー,Japan,Sakai,2017,nan
Chase Rice,United States,Asheville,1986-09-19,nan
The Cardigans,Sweden,Jönköping,1992-10,nan
Elliott Smith,United States,Omaha,1969-08-06,True
Switchfoot,United States,San Diego,1997,nan
Iration,United States,California,no data,nan
Feist,Canada,Amherst,1976-02-13,nan
AFTERS,Japan,no data,2023-04,nan
Jimmy Buffett,United States,Pascagoula,1946-12-25,True
Fog Lake,Canada,Glovertown,1993-07-26,nan
Palehound,Boston,no data,2014,nan
Gipsy Kings,France,Arles,1978,nan
Green Day,United States,Berkeley,1989,nan
Betcha,Nashville,no data,no data,nan
Bastille,United Kingdom,London,2010,nan
P.O.D.,United States,San Diego,1992,nan
Alific,Las Vegas,"Washington, D.C.",2011-05-08,nan
Gipsy Kings,France,Arles,1978,nan
The Blasters,United States,Downey,1979,nan
Train,United States,San Francisco,1994,nan
Circa Waves,United Kingdom,Liverpool,2013,nan
Living Colour,United States,New York,1983,nan
Matchbox Twenty,United States,Orlando,1996,nan
Local Natives,United States,Silver Lake,2003,nan
no data,no data,no data,no data,no data
Taylor Swift,United States,West Reading,1989-12-13,nan
Cold War Kids,United States,Fullerton,2004,nan
SadGirl,Los Angeles,no data,no data,nan
Flyte,London,London,2013,nan
Himalayas,Cardiff,Cardiff,2016-09-01,nan
