Eve,United States,Philadelphia,1978-11-10,nan,female
DZ,Seattle,no data,no data,nan,male
Kaliii,United States,Atlanta,2000-07-29,nan,female
Was (Not Was),United States,Detroit,1979,nan,no data
Davina Porter,no data,no data,no data,nan,female
Trellion,no data,no data,no data,nan,no data
Playboi Carti,United States,Atlanta,1996-09-13,nan,male
Big Scarr,United States,Memphis,2000-04-07,True,male
Bonnie Tyler,United Kingdom,Skewen,1951-06-08,nan,female
Lil Tecca,United States,Queens,2002-08-26,nan,male
LUM,Tulum,Argentina,no data,nan,male
Baby Tate,United States,Decatur,1995,nan,female
Hip Hop Kclan,United States,no data,no data,nan,no data
GZA/Genius,United States,Brooklyn,1966-08-22,nan,male
Bktherula,United States,Atlanta,2002-08-30,nan,female
Sole,United States,Portland,1977-09-25,nan,male
Outline in Color,United States,no data,no data,nan,no data
Del the Funky Homosapien,United States,Oakland,1972-08-12,nan,male
Boogie,United States,no data,no data,nan,male
[unknown],[Worldwide],no data,no data,nan,not applicable
Mase,Atlanta,Jacksonville,1975-08-27,nan,male
YoungBoy Never Broke Again,United States,Baton Rouge,1999-10-20,nan,male
saves,no data,no data,no data,nan,no data
Nas,United States,Brooklyn,1973-09-14,nan,male
Ravyn Lenae,United States,Chicago,1999-01-22,nan,female
Hip-Hop,Denmark,no data,no data,nan,no data
[unknown],[Worldwide],no data,no data,nan,not applicable
Snoop Dogg,United States,Long Beach,1971-10-20,nan,male
Pooh Shiesty,United States,Memphis,2000-11-08,nan,male
Éric Caspar,no data,no data,no data,nan,male
Ashnikko,United States,Greensboro,1996-02-19,nan,non-binary
Electronic,United Kingdom,Manchester,1989,True,no data
Shoreline Mafia,United States,Los Angeles,2016,nan,no data
Tracks,York,no data,no data,nan,male
Greatest Hits,no data,no data,no data,nan,no data
Guitar Instrumentals,no data,no data,no data,nan,no data
Wale,United States,"Washington, D.C.",1984-09-21,nan,male
Ultra Naté,United States,Havre de Grace,1968-03-20,nan,female
Doctor Flake,France,Annecy,1974-12-17,nan,male
no data,no data,no data,no data,no data,no data
Various Artists,no data,no data,no data,nan,no data
VITAL POWERS,United Kingdom,Wolverhampton,1991-06-20,nan,male
Creed tha Kid,no data,no data,no data,nan,male
Dr. Hook,United States,New Jersey,1968,True,no data
OSTER project,Japan,no data,1986-11-24,nan,no data
Various Artists,no data,no data,no data,nan,no data
Hip Hop Kclan,United States,no data,no data,nan,no data
