,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
360,Post Malone,Waiting For Never,track,Twelve Carat Toothache (Deluxe),16,2022-06-07
361,Drake,A Keeper,track,"Honestly, Nevermind",14,2022-06-17
362,Izzamuzzic,Shootout,track,Shootout,1,2022-06-30
363,Yuridia,¿Y Qué Tal Si Funciona?,track,Pa' Luego Es Tarde,14,2022-10-20
364,Connor Price,Chatter,track,Chatter,1,2022-12-02
365,Fujii Kaze,Matsuri,track,LOVE ALL SERVE ALL,11,2022-03-23
366,Tyga,Freaky Deaky,track,Freaky Deaky,1,2022-02-25
367,beabadoobee,10:36,track,Beatopia,14,2022-07-15
368,Josh Ross,First Taste of Gone,track,First Taste of Gone,1,2022-02-11
369,BLACKPINK,Shut Down,track,BORN PINK,8,2022-09-16
370,Rauw Alejandro,LOKERA,track,LOKERA,1,2022-07-25
371,Conan Gray,Yours,track,Superache,12,2022-06-24
372,Fireboy DML,Bandana,track,Playboy,14,2022-08-04
373,Oxlade,KU LO SA - A COLORS SHOW,track,KU LO SA - A COLORS SHOW,1,2022-06-10
374,Taylor Swift,Bejeweled,track,Midnights (3am Edition),20,2022-10-22
375,Río Roma,Tú Me Gustas,track,Tú Me Gustas,1,2022-03-04
376,Ashley Cooke,never til now,track,Already Drank That Beer,9,2022-04-01
377,Memphis May Fire,Make Believe,track,Make Believe,7,2022-02-18
378,Muscadine Bloodline,Dyin' For a Livin',track,Dispatch to 16th Ave.,9,2022-02-04
379,The Maine,Loved You A Little (with Taking Back Sunday and Charlotte Sands),track,Loved You A Little (with Taking Back Sunday and Charlotte Sands),1,2022-01-20
380,Tom Odell,Best Day Of My Life,track,Best Day of My Life,12,2022-10-28
381,Kidd G,People Talk,track,People Talk,1,2022-04-15
382,Cordae,Super,track,From a Birds Eye View,14,2022-01-14
383,Post Malone,Wasting Angels (with The Kid LAROI),track,Twelve Carat Toothache,14,2022-06-03
384,Stray Kids,"TASTE (Lee Know, Hyunjin, Felix)",track,MAXIDENT,8,2022-10-07
385,Beyoncé,MOVE (feat. Grace Jones & Tems),track,RENAISSANCE,16,2022-07-29
386,GRAHAM,Mad It's My Fault,track,Mad It's My Fault,1,2022-07-08
387,Chase Matthew,Can't Hide Love,track,Born for This,12,2022-02-11
388,Benson Boone,Work of Art,track,Walk Me Home...,8,2022-07-29
389,Dylan Schneider,Ain't Missin' You,track,Ain't Missin' You,1,2022-09-16
390,LE SSERAFIM,ANTIFRAGILE,track,ANTIFRAGILE,5,2022-10-17
391,Porter Robinson,Everything Goes On,track,Everything Goes On,1,2022-07-14
392,LE SSERAFIM,Good Parts (when the quality is bad but I am),track,ANTIFRAGILE,5,2022-10-17
393,Cults,Gilded Lily - Sped Up,track,Offering,13,2022-10-26
394,Punctual,Do It All Again,track,Do It All Again,1,2022-02-11
395,Jung Kook,My You,track,My You,1,2022-06-13
396,BLACKPINK,Pink Venom,track,Pink Venom,1,2022-08-19
397,Bette Midler,One Way or Another (Hocus Pocus 2 Version),track,Hocus Pocus 2 (Original Soundtrack),28,2022-09-30
398,Chase Matthew,Love You Again,track,Love You Again,1,2022-12-09
399,Lil Durk,Mad Max,track,Lil Durk Presents: Loyal Bros 2,23,2022-12-16
400,Taylor Swift,"You're On Your Own, Kid",track,Midnights (3am Edition),20,2022-10-22
401,The Lumineers,WHERE WE ARE,track,BRIGHTSIDE,9,2022-01-14
402,Ski Mask The Slump God,OOGA BOOGA!,track,OOGA BOOGA!,1,2022-10-25
403,MEDUZA,Bad Memories (feat. Elley Duhé & FAST BOY),track,Bad Memories (feat. Elley Duhé & FAST BOY),1,2022-07-22
404,Lady Gaga,Hold My Hand,track,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",1,2022-05-03
405,Big Thief,Change,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
406,d4vd,Dirty Secrets,track,Dirty Secrets,1,2022-04-27
407,ENHYPEN,Future Perfect (Pass the MIC),track,MANIFESTO : DAY 1,6,2022-07-04
408,Huey Mack,Carry Me Home (feat. Charles Wesley Godwin),track,The Cozy Bar,14,2022-10-21
409,Fireboy DML,Peru,track,Playboy,14,2022-08-04
410,Post Malone,Waiting For Never,track,Twelve Carat Toothache (Deluxe),16,2022-06-07
411,Drake,A Keeper,track,"Honestly, Nevermind",14,2022-06-17
412,Izzamuzzic,Shootout,track,Shootout,1,2022-06-30
413,Yuridia,¿Y Qué Tal Si Funciona?,track,Pa' Luego Es Tarde,14,2022-10-20
414,Connor Price,Chatter,track,Chatter,1,2022-12-02
