,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
103,Thomas Rhett,Angels (Don’t Always Have Wings),track,Angels (Don’t Always Have Wings),2,2023-01-20
104,Tauren Wells,Take It All Back,track,Take It All Back,4,2023-08-18
105,Pierce The Veil,The Jaws Of Life,track,The Jaws Of Life,12,2023-02-10
106,The Rolling Stones,She's A Rainbow,track,Forty Licks,40,2023-07-26
107,Rachael Lampa,Somebody to You,track,Somebody to You,1,2023-05-19
108,Måneskin,THE LONELIEST,track,RUSH!,17,2023-01-20
109,The Beaches,Me & Me,track,Blame My Ex,10,2023-09-15
110,Fall Out Boy,Heartbreak Feels So Good,track,So Much (For) Stardust,14,2023-03-24
111,Måneskin,OFF MY FACE,track,RUSH! (ARE U COMING?),22,2023-11-10
112,Phillip Phillips,Love Like That,track,Drift Back,10,2023-06-09
113,Micah Tyler,Praise The Lord,track,Praise The Lord,1,2023-03-10
114,Dominic Fike,Ant Pile,track,Sunburn,15,2023-07-07
115,Jordan Feliz,The King Is Alive,track,The King Is Alive,2,2023-04-28
116,Skillet,Psycho In My Head,track,Dominion: Day of Destiny,17,2023-02-17
117,Paramore,Crave,track,This Is Why,10,2023-02-10
118,Autograph,Turn up the Radio,track,This Is The Day: Feel Good Summer Hits,50,2023-07-07
119,Bring Me The Horizon,DArkSide,track,DArkSide,1,2023-10-18
120,Rawayana,Binikini,track,¿Quién trae las cornetas?,22,2023-09-21
121,Richy Mitch & The Coal Miners,Signal Sender,track,Signal Sender,1,2023-07-27
122,Gorillaz,Cracker Island (feat. Thundercat),track,Cracker Island,10,2023-02-24
123,The Who,The Seeker - Original Single A-Side Mix,track,Who’s Next : Life House (Super Deluxe),109,2023-09-15
124,Ghost,Jesus He Knows Me,track,Jesus He Knows Me,1,2023-04-09
125,Måneskin,HONEY (ARE U COMING?),track,HONEY (ARE U COMING?),1,2023-09-01
126,Pierce The Veil,So Far So Fake,track,The Jaws Of Life,12,2023-02-10
127,Foghat,Slow Ride (Edit),track,Road Fever: The Complete Bearsville Recordings 1972-1975,54,2023-05-12
128,Eve,Bokurano,track,Bokurano,1,2023-01-08
129,Paramore,You First,track,This Is Why,10,2023-02-10
130,OneRepublic,RUNAWAY,track,RUNAWAY,1,2023-05-26
131,Dominic Fike,Dancing In The Courthouse,track,Sunburn,15,2023-07-07
132,All Time Low,Fake As Hell (with Avril Lavigne),track,Fake As Hell (with Avril Lavigne),1,2023-09-15
133,Tenacious D,Wicked Game,track,Wicked Game,1,2023-06-01
134,Skindred,Gimme That Boom,track,Smile,12,2023-08-04
135,Måneskin,MAMMAMIA,track,RUSH!,17,2023-01-20
136,Friday Pilots Club,Sleeping On The Ceiling,track,Sleeping On The Ceiling,1,2023-06-08
137,Thirty Seconds To Mars,Stuck,track,It’s The End Of The World But It’s A Beautiful Day,11,2023-09-15
138,So!YoON!,Smoke Sprite (feat. RM of BTS),track,Episode1 : Love,11,2023-03-14
139,Dominic Fike,Sick,track,Sunburn,15,2023-07-07
