,Artista,Album,Cancion,Año Lanzamiento,Total tracks
211,Will Kano,Latina,Latina,2024-01-26,1
212,Adri Torron,Despreocupada,Despreocupada,2023-11-10,2
213,Balún,Olas y Arenas,Olas y Arenas,2023-04-12,1
214,B-Side Players,Tranquil,Tranquil,2023-07-18,1
215,Jarina De Marco,Caribbean All-Inclusive Luxury,Fuego Lento,2023-09-05,9
216,Bella Poarch,Latino Hits 2024,Bad Boy! - feat. Kenia OS,2024-03-16,44
217,Adri Torron,Coming Home,Coming Home,2024-04-19,1
218,Sofía Reyes,Pop Latino 2024,El 100,2024-07-12,50
219,El Hijo de Borikén,Emilito Castao (Instrumentales),NLMAE,2023-01-22,11
220,Niña ,Limbo,Limbo,2024-10-04,1
221,Mitú,DANZAAA,AYY,2024-03-20,11
222,El Hijo de Borikén,Hoy es un buen día,Hoy es un buen día,2023-07-11,1
223,Feid,Top Latin Hits 2023,BUBALU,2023-12-16,20
224,Adri Torron,NASA,NASA,2024-07-19,1
225,Kali Uchis,Pop Workout by Digster Pop,Labios Mordidos,2024-07-25,44
226,Suite Paranoia,Calma,Calma,2024-09-13,1
227,Sebastian Yatra,Top Latin Viral Hits 2023,VAGABUNDO,2023-12-16,20
228,Circo,Plus Souvent (Radio Edit),Plus Souvent - Radio Edit,2024-06-07,1
229,J Dex,"Viva Latino 2024 - Latin Hit Mix - Latin Pop, Reggaeton, Latin Urban Top Hits",Mala,2023-11-27,24
230,Luis Fonsi,"Mix de Salsa, Merengue y Bachata",Bésame,2022-03-31,25
231,Joaquina,Top Latin Hits 2023,quise quererte,2023-12-16,20
232,Marc Seguí,LATIN MUSIC 2024,Tiroteo - Remix,2024-09-12,50
233,Mitú,DANZAAA,MADERA,2024-03-20,11
234,Feid,Top Latin Hits 2023,CLASSY 101,2023-12-16,20
235,Badir,Aparentemente,Aparentemente,2024-02-09,1
236,RATAS,Divina,Divina,2023-11-03,1
237,Belanova,Mix: Lo Mejor de la Música Latina 2023,Rosa Pastel,2023-10-20,30
238,Words Four Two,El Sol (2023) [Radio Edit],El Sol (2023) - Radio Edit,2023-11-14,1
239,Katrina,No Siento (nada),Ghosts,2024-08-23,6
240,Feid,Today's Top Latin Hits,CLASSY 101,2023-10-10,25
241,Seba Otero,Salitre,Salitre,2022-06-09,1
242,Sebastian Yatra,Today's Top Latin Hits,VAGABUNDO,2023-10-10,25
243,Mitú,DANZAAA,LOMA,2024-03-20,11
244,Feid,Today's Top Latin Hits,VENTE CONMIGO,2023-10-10,25
245,Christian Nodal,TOP 2023 MEXICAN SONGS,Aquí Abajo,2023-06-22,30
246,Milos,La Expectativa,La Expectativa,2024-08-23,1
247,Sebastian Yatra,Top Latin Hits 2023,VAGABUNDO,2023-12-16,20
248,La Perversa,Reggaeton 2024 - Los Hits Del Regueton,EA,2023-12-04,13
249,JHAYCO,Top Latin Hits 2023,Ex-Special,2023-12-16,20
250,Marc Seguí,TOP DE VERANO 2024,Tiroteo - Remix,2024-01-19,51
251,Sebastian Yatra,Today's Top Latin Hits,Energía Bacana,2023-10-10,25
252,Katrina,No Siento (nada),No Siento (nada),2024-08-23,6
253,Turista,La Nueva Esquina,La Última,2023-05-30,8
254,Myke Towers,Reggaeton 2024,ADIVINO,2024-07-31,25
255,MaryOla,Púrpura,Púrpura,2024-04-18,1
256,Danny Ocean,LATIN MUSIC 2024,Swing,2024-09-12,50
257,Ela Taubert,Today's Top Latin Hits,¿Y Si Eras Tú?,2023-10-10,25
258,Myke Towers,New Music 2024,ADIVINO,2024-06-29,60
259,KAROL G,Today's Top Latin Hits,TQG,2023-10-10,25
260,Cardi B,LATINO MIX 2023,I Like It,2023-08-09,28
261,JHAYCO,Today's Top Latin Hits,Holanda,2023-10-10,25
262,KAROL G,Top Latin Hits 2023,TQG,2023-12-16,20
263,RATAS,Todo Pierde Su Color,Todo Pierde Su Color,2023-11-30,2
264,Mint Field,Sensibilidad dormida,Una flor sin interior,2024-07-24,3
265,Tokischa,Top 100 Songs of 2024,SOL,2024-07-27,100
266,MOÜGLI,Árboles,Árboles,2024-03-08,1
267,Mayani Swave,Mia,Mia,2024-03-22,1
268,Cheo,Macumba,Macumba,2023-04-21,1
269,Myke Towers,Songs 2024,ADIVINO,2024-05-18,45
270,Kali Uchis,Despidiendo la Primavera Con Música Latina,Muñekita,2024-06-13,34
271,Patio Solar,Puro Espejo,Gárgolas,2024-01-12,5
272,Danny Ocean,LATIN MUSIC 2024,Me rehúso,2024-09-12,50
273,The Marías,Pop Latino 2024,Lejos de ti,2024-07-12,50
274,Jarina De Marco,Caribbean All-Inclusive Luxury,Pool Bar,2023-09-05,9
275,Balún,Prisma Tropical,Ausente,2018-07-20,16
276,KAROL G,Hits Latinos - Melhores,PROVENZA,2023-11-17,12
277,Young Miko,Top Latin Hits 2023,wiggy,2023-12-16,20
278,J Balvin,Today's Top Latin Hits,Rojo,2023-10-10,25
279,Giorgio Siladi,HACK,HACK,2024-03-01,1
280,Zabuza,Latin Pop Volume 1.,Sueño de Verde,2024-07-30,27
281,Bad Gyal,Mix: Lo Mejor de la Música Latina 2023,Chulo pt.2,2023-10-20,30
282,B-Side Players,Tierra Maya,Tierra Maya,2024-01-16,1
283,El Otro Polo,33,33,2024-04-05,1
284,RATAS,Navajas EP,Navajas,2023-03-10,2
285,KAROL G,Best Of 2023: Breakout Artists,TQG,2023-11-29,20
286,Kaida,Musica Latina,Musica Latina,2024-03-20,2
287,francia,Latina,Latina,2024-03-12,1
288,Omaraga the G,Mi Tierra Latina,Bejuma,2024-09-22,60
289,Vaya Futuro,Posesión,Posesión,2023-10-11,1
290,Feid,Today's Top Latin Hits,EXCXSXS,2023-10-10,25
291,Lú Polanco,Bajo La Lluvia,Bajo La Lluvia,2024-04-28,1
292,J Balvin,Top Latin Hits 2023,Dientes,2023-12-16,20
293,Espuelérico,Una Playa En Aguadilla,Una Playa En Aguadilla,2023-08-25,1
294,KAROL G,Top Reggaeton Y Perreo,MERCURIO,2024-07-19,33
295,Danny Ocean,Pop Latino 2024,Si no no,2024-07-12,50
296,Lao Ra,El Chico,El Chico,2024-01-25,1
297,Words Four Two,El Sol (2023),El Sol (2023) - Radio,2023-11-02,1
298,KAROL G,Hits 2023: Reggaetón,TQG,2023-11-10,25
299,Mitú,DANZAAA,YUCA,2024-03-20,11
300,Maná,Pop Latino 2024,Bendita tu luz,2024-07-12,50
301,Onda Moderna,Bai Mudan,Bai Mudan,2023-12-15,1
302,Ságan,Sal,Sal,2023-08-11,1
303,Danny Ocean,Summer 2024 - Top 100 Songs,AMOR,2024-06-07,100
304,Zion & Lennox,Top Hits Latinos 2023,Otra vez,2023-12-16,50
305,Brray,Top Latin Hits 2023,Corazón Roto pt. 3,2023-12-16,20
306,Mint Field,Una flor sin interior,Ve hacia la ventana,2024-06-26,2
307,Feid,Top Canciones LATAM,Normal,2023-09-01,30
308,KAROL G,Latin Music Hits,TQG,2023-05-31,34
309,Vic Contreras,Arriba En El Cielo,Arriba En El Cielo,2024-08-02,1
310,DJ Sukha,Latin Music 2024,Sueño Europeo,2024-08-29,5
311,Renn,Top Latino Hits,Maquillaje - Remix,2024-07-02,30
312,Nancy Sanchez,Mexican American Novio,Mexican American Novio,2024-08-16,6
313,Elena Rose,Top Hits Latinos 2023,CARACAS EN EL 2000,2023-12-16,50
314,Feid,The Highlights: Reggaetón,LUNA,2024-04-22,25
315,Omaraga the G,Mi Tierra Latina,Badajoz,2024-09-22,60
316,Omaraga the G,Mi Tierra Latina,Avarua,2024-09-22,60
317,Marc Seguí,LATIN MUSIC 2024,360,2024-09-12,50
318,Mima,Bachaqué (Villana Akin Remix),Bachaqué (Villana Akin Remix),2024-02-02,1
319,unÁnima,Hunde,Hunde,2023-07-28,5
320,Omaraga the G,Mi Tierra Latina,Bahrein,2024-09-22,60
321,Jonna Torres,POP LATINO 2024,DO NOT DISTURB,2024-05-14,14
322,Abraham Dorta,Siente,Siente,2024-03-18,11
323,Ela Taubert,Top Latin Viral Hits 2023,¿Y Si Eras Tú?,2023-12-16,20
324,Tainy,HOLA 2024,MERA,2023-12-22,28
325,Myke Towers,Top Latino Hits,ADIVINO,2024-07-02,30
326,Maná,Latin Summer Party 2024,De pies a cabeza,2024-08-14,39
327,RAVEN DAVE,Rap Latino,Rap Latino,2024-08-23,1
328,Mariah Angeliq,Reggaeton en el 2023,Taxi,2023-01-06,33
329,Feid,Latin Music Hits,PORFA,2023-05-31,34
330,Danny Ocean,Latina - Latin Hits 2023,Me rehúso,2023-08-09,28
331,Red Tiger,Gas N' Dust,Gas N' Dust,2024-09-27,1
332,LIT killah,Top Hits Latinos 2023,LuXxX,2023-12-16,50
333,Le Montro,Ligero,Magnetismo / Ligero,2023-12-29,3
334,Myke Towers,Top Pop New Music 2024,ADIVINO,2024-06-07,55
335,Marc Seguí,Today's Latin Songs,Tiroteo - Remix,2023-10-26,36
336,Young Miko,Hits en Spanglish,Pull Up,2023-08-14,19
337,Reyna Tropical,Malegría,Queer Love & Afro-Mexico,2024-03-29,20
338,Piso 21,Pop Latino 2024,La misión,2024-07-12,50
339,The Lsdays,Clouds,Clouds,2024-10-04,1
340,Danny Ocean,TOP LATINO HITS,Mónaco,2023-11-03,40
341,Sofía Reyes,LATIN MUSIC 2024,Marte,2024-09-12,50
342,Feid,Top Latin Viral Hits 2023,EXCXSXS,2023-12-16,20
343,Bad Gyal,Top Latin Hits 2023,Chulo pt.2,2023-12-16,20
344,Gus Dapperton,Top 100 Songs of 2024,Lil Tune,2024-07-27,100
345,Feid,Latino Vivo!,CHORRITO PA LAS ANIMAS,2023-09-22,35
346,Sofía Reyes,LATIN MUSIC 2024,Girls,2024-09-12,50
347,Yandel,LATIN MUSIC 2024,Borracho y loco,2024-09-12,50
348,Lacuna Common,Pool House,Pool House,2024-05-31,2
349,Von Galo,Calling,Till Dawn,2024-10-04,3
350,Becky G,Today's Latin Songs,Mal de amores,2023-10-26,36
351,KAROL G,Latin Music Hits,EL MAKINON,2023-05-31,34
352,Ovy On The Drums,Pop Latino 2024,GANGSTER (PQFNEDG),2024-07-12,50
353,Marc Seguí,Gustos variados,Tiroteo - Remix,2024-06-29,49
354,Daddy Yankee,Hip Hop Hits 2023,Vuelve,2023-02-08,31
355,Feid,Top Latin Viral Hits 2023,BUBALU,2023-12-16,20
356,Monte,NUJ,El Mundo,2023-11-30,3
357,Maná,Pop Latino 2024,Mi verdad (feat. Shakira),2024-07-12,50
358,LAGOS,Top Latino Hits,Dime quién,2024-07-02,30
359,Young Miko,Best Rap 2023,Riri,2023-10-05,30
360,Danny Ocean,Super Hits 2023,Me rehúso,2024-02-03,58
361,Mitú,DANZAAA,BROLO,2024-03-20,11
362,Danny Ocean,LATIN PARTY HITS,Me rehúso,2024-06-27,28
363,Signature Tracks,Latina Upbeat,Nostalgico,2024-09-06,37
364,Myke Towers,Top Tracks Pop,ADIVINO,2024-05-25,55
365,Siete Catorce,2017,GT,2024-06-14,8
366,Blessd,LATIN MUSIC 2024,Mirame,2024-09-12,50
367,Juanes,Despidiendo El Verano con Pop Latino,Mala Gente - Remastered 2022,2024-07-26,34
368,Aliss,voces,Tiempo,2023-01-06,9
369,Yng Lvcas,LATIN MUSIC 2024,Wazap,2024-09-12,50
370,Mala Cotton,Género Fresco,Arcade,2024-10-04,10
371,Danny Ocean,Mix musica estate 2023,Me rehúso,2024-05-16,32
372,Myke Towers,2024 Pop Songs,ADIVINO,2024-05-25,50
373,Cloud Eleven,Cloud Eleven Goes Latin,Yin Yang,2024-09-03,12
374,Justin Quiles,LATIN PARTY HITS,PAM,2024-06-27,28
375,Ovy On The Drums,LATIN MUSIC 2024,EL HECHIZO,2024-09-12,50
376,Feid,Verano Heat Songs,LUNA,2024-06-03,34
377,Maná,Lo más escuchado - Febrero 2024,Oye mi amor,2024-02-27,24
378,Marc Seguí,Pop Latino y Energía Pop - 2023,Tiroteo - Remix,2024-05-21,39
379,Myke Towers,LATIN MUSIC 2024,Experimento,2024-09-12,50
380,KAROL G,Latin Summer 2024,QLONA,2024-04-29,30
381,Tokischa,Top Latino Hits,SOL,2024-07-02,30
382,Álvaro De Luna,Pop Latino 2024,Desconocidos,2024-07-12,50
383,Piso 21,Top Latino Hits,La misión,2024-07-02,30
384,Tainy,Se puso la previa,MALVADA,2023-10-20,26
385,Brray,Top Latin Hits 2023,Corazón Roto - Remix,2023-12-16,20
386,Nicole Zignago,Pop Latino 2024,más y menos,2024-07-12,50
387,Frontera Bugalú,Hermano Mayor,Hermano Mayor,2024-05-22,1
388,Jake Williams,REGGAETON & LATINO HITS 2024,¿Pa Qué?,2023-11-30,13
389,Nacho,Latin Music Hits,Báilame,2023-05-31,34
390,Joey Montana,Latin Music Hits,Picky,2023-05-31,34
391,Danny Ocean,Hot Reggaeton 2023,Me rehúso,2023-05-12,16
