,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
270,The Weeknd,Gasoline,track,Dawn FM,16,2022-01-06
271,Beyoncé,ENERGY (feat. Beam),track,RENAISSANCE,16,2022-07-29
272,BLACKPINK,Shut Down,track,BORN PINK,8,2022-09-15
273,Becky G,MAMIII,track,MAMIII,1,2022-02-10
274,Ethel Cain,Sun Bleached Flies,track,Preacher’s Daughter,13,2022-05-12
275,charlieonnafriday,Enough,track,Enough,2,2022-08-05
276,Stray Kids,CASE 143,track,MAXIDENT,8,2022-10-07
277,Nessa Barrett,dying on the inside,track,dying on the inside,1,2022-02-25
278,Alex Warren,Chasing Shadows,track,Chasing Shadows,2,2022-12-02
279,SZA,Shirt,track,Shirt,1,2022-10-28
280,The 1975,I'm In Love With You,track,Being Funny In A Foreign Language,11,2022-10-14
281,ENHYPEN,Polaroid Love,track,DIMENSION : ANSWER,11,2022-01-10
282,Paris Paloma,It's Called: Freefall,track,It's Called: Freefall,1,2022-07-22
283,IVE,LOVE DIVE,track,LOVE DIVE,2,2022-04-05
284,Corey Kent,Wild as Her,track,Wild as Her,1,2022-03-04
285,SZA,Conceited,track,SOS,23,2022-12-09
286,SZA,Notice Me,track,SOS,23,2022-12-09
287,SZA,Smoking on my Ex Pack,track,SOS,23,2022-12-09
288,Kid Cudi,love.,track,The Boy Who Flew To The Moon (Vol. 1),18,2022-07-08
289,Dylan Conrique,birthday cake,track,birthday cake,1,2022-02-02
290,Beyoncé,AMERICA HAS A PROBLEM,track,RENAISSANCE,16,2022-07-29
291,Megan Moroney,Hair Salon,track,Pistol Made of Roses,6,2022-07-15
292,VOILÀ,Drinking with Cupid,track,Happy Never After,21,2022-10-07
293,girl in red,October Passed Me By,track,October Passed Me By,1,2022-10-14
294,Lil Durk,What Happened To Virgil (feat. Gunna),track,7220,17,2022-03-11
295,Harry Styles,Daydreaming,track,Harry's House,13,2022-05-20
296,Drake,Massive,track,"Honestly, Nevermind",14,2022-06-17
297,Ryan Mack,Forever and Ever and Always,track,Forever and Ever and Always,1,2022-12-02
298,Harry Styles,Cinema,track,Harry's House,13,2022-05-20
299,Imagine Dragons,Follow You,track,Mercury - Acts 1 & 2,32,2022-07-01
300,Alicia Keys,Trillions (feat. Brent Faiyaz),track,KEYS II,30,2022-08-12
301,Drake,I Guess It’s Fuck Me,track,Her Loss,16,2022-11-04
302,Ryan Mack,Only Human,track,Only Human,1,2022-02-15
303,Romeo Santos,Solo Conmigo,track,"Fórmula, Vol. 3",21,2022-09-01
304,Zach Top,In a World Gone Wrong,track,Zach Top,8,2022-05-13
305,Tory Lanez,Sorry 4 What? // LV BELT,track,Sorry 4 What,20,2022-09-30
306,Megan Thee Stallion,Sweetest Pie,track,Sweetest Pie,1,2022-03-11
307,Camila Cabello,Bam Bam (feat. Ed Sheeran),track,Familia,12,2022-04-07
308,Drake,BackOutsideBoyz,track,Her Loss,16,2022-11-04
309,George Ezra,Green Green Grass,track,Gold Rush Kid,12,2022-06-10
310,Sabrina Carpenter,bet u wanna,track,emails i can't send,13,2022-07-15
311,JID,Raydar,track,The Forever Story (Extended Version),16,2022-10-31
312,Stephen Dawes,Teenage Dream,track,Teenage Dream,2,2022-06-02
313,DaBaby,Bestie,track,BETTER THAN YOU,12,2022-03-04
314,Gucci Mane,Rumors (feat. Lil Durk),track,Rumors (feat. Lil Durk),1,2022-01-25
315,Taylor Swift,Question...?,track,Midnights,13,2022-10-21
316,Bailey Zimmerman,Never Leave,track,Leave The Light On,9,2022-10-14
317,Megan Thee Stallion,Sweetest Pie,track,Traumazine,18,2022-08-12
318,A Day To Remember,Miracle,track,Miracle,1,2022-07-21
319,Taylor Swift,Paris,track,Midnights (3am Edition),20,2022-10-22
320,Hueston,Joy Ride,track,Joy Ride,1,2022-11-07
321,Emei,That Girl,track,That Girl,1,2022-07-13
322,Beyoncé,HEATED,track,RENAISSANCE,16,2022-07-29
323,Matisse,Como Lo Hice Yo,track,Así de Enamorados,8,2022-05-27
324,(G)I-DLE,TOMBOY,track,I NEVER DIE,8,2022-03-14
325,Jay Webb,Yee-Haw,track,Yee-Haw,1,2022-05-06
326,Jax Jones,Where Did You Go? (feat. MNEK),track,Where Did You Go (feat. MNEK),1,2022-02-04
327,Jackson Dean,Don't Come Lookin',track,Greenbroke,10,2022-03-11
328,Diddy,I'll Be Missing You,track,BAD BOY CELEBRATES DIDDY: The Artist,16,2022-06-24
329,(G)I-DLE,Nxde,track,I love,6,2022-10-17
330,Charli xcx,Good Ones,track,CRASH,12,2022-03-18
331,Ethel Cain,A House In Nebraska,track,Preacher’s Daughter,13,2022-05-12
332,beabadoobee,Talk,track,Beatopia,14,2022-07-15
333,Wild Rivers,Neon Stars,track,Sidelines,10,2022-02-04
334,Lauren Spencer Smith,Flowers,track,Flowers,1,2022-04-14
335,Meghan Trainor,Bad For Me (feat. Teddy Swims),track,Takin' It Back,16,2022-10-21
336,Lojay,Monalisa,track,Monalisa,1,2022-05-19
337,Taylor Swift,This Love (Taylor’s Version),track,This Love (Taylor’s Version),2,2022-05-06
338,Taylor Swift,"Would've, Could've, Should've",track,Midnights (3am Edition),20,2022-10-21
339,Josh Ross,On A Different Night,track,On A Different Night,1,2022-07-15
340,Swedish House Mafia,Moth To A Flame (with The Weeknd),track,Moth To A Flame,2,2022-01-03
341,Camila Cabello,Bam Bam (feat. Ed Sheeran),track,Bam Bam (feat. Ed Sheeran),1,2022-03-04
342,Sebastian Yatra,Tacones Rojos,track,Dharma,17,2022-01-28
343,Warren Zeiders,Dark Night - 717 Tapes,track,717 Tapes the Album,15,2022-09-30
344,Jax,Victoria's Secret,track,Victoria’s Secret,2,2022-06-30
345,Rex Orange County,AMAZING,track,WHO CARES?,11,2022-03-11
346,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),track,Left and Right (Feat. Jung Kook of BTS),1,2022-06-24
347,Lizzy McAlpine,reckless driving,track,five seconds flat,14,2022-04-08
348,AURORA,Cure For Me,track,The Gods We Can Touch,15,2022-01-21
349,Riley Green,I Hope She's Drinkin' Tonight,track,I Hope She’s Drinkin' Tonight / Get Back Home,2,2022-07-22
350,JID,Kody Blu 31,track,The Forever Story (Extended Version),16,2022-10-31
351,Charli xcx,Hot Girl (Bodies Bodies Bodies),track,Hot Girl (Bodies Bodies Bodies),1,2022-07-27
352,Beyoncé,I'M THAT GIRL,track,RENAISSANCE,16,2022-07-29
353,Parker McCollum,Handle On You,track,Handle On You,1,2022-08-05
354,Taylor Swift,Mastermind,track,Midnights (3am Edition),20,2022-10-22
