,Artista,Pais_origen,Area_origen,Fecha_ini_act,Fecha_fin_act,Genero
247,Pahua,Mexico,no data,no data,,female
248,no data,no data,no data,no data,no data,no data
249,La Maquinaria Norteña,no data,New Mexico,2006-04,,no data
250,Justin Quiles,Puerto Rico,Bridgeport,1990-03-29,,male
251,MaryOla,San Juan,Puerto Rico,2017,,no data
252,Paulo Londra,Argentina,Córdoba,1998-04-12,,male
253,TOLEDO,Brooklyn,no data,no data,,no data
254,Angel Heredia,no data,no data,no data,,male
255,Eduardo Meana,Argentina,no data,no data,,male
256,Gustavo Voz Perdida,no data,no data,no data,,no data
257,Gomez,United Kingdom,Southport,1996,,no data
258,Bobui,Ciudad de México,Colima,2018-01,,no data
259,Kim Loaiza,no data,no data,no data,,female
260,Dragon,New Zealand,Auckland,1972-01,,no data
261,Sr. Langosta,San Juan,no data,no data,,no data
262,no data,no data,no data,no data,no data,no data
263,Beret,Spain,Sevilla,1996-07-02,,male
264,Migrant Motel,no data,no data,2017,,no data
265,Barrio Lindo,Argentina,no data,no data,,male
266,Clinic,United Kingdom,Liverpool,1997,,no data
267,Bucks Fizz,United Kingdom,United Kingdom,1981,,no data
268,no data,no data,no data,no data,no data,no data
269,Ela Taubert,no data,Bogotá,2000-11-11,,no data
270,Vaya Futuro,Mexico,Tijuana,2008,,no data
271,Kano,United Kingdom,East Ham,1985-05-21,,male
272,Various Artists,no data,no data,no data,,no data
273,Mexican Institute of Sound,Mexico,Ciudad de México,2004,,no data
274,Lorelle Meets the Obsolete,Mexico,Guadalajara,no data,,no data
275,La Perversa,no data,no data,no data,,female
276,Katrina and the Waves,United Kingdom,Cambridge,1981,True,no data
277,Calibre 50,Mexico,Mazatlan,2010,,no data
278,Tan Cologne,Taos,no data,no data,,no data
279,Adriel Favela,United States,San Francisco,1992-08-26,,male
280,Giorgio Moroder,Italy,Urtijëi,1940-04-26,,male
281,Renee Goust,no data,no data,1986,,female
282,El Otro Yo,Argentina,Buenos Aires,1988,,no data
283,no data,no data,no data,no data,no data,no data
284,Regal86,Mexico,no data,no data,,male
285,Franz Kaida,Austria,no data,1942,,male
286,no data,no data,no data,no data,no data,no data
287,Mementut,Mexico,no data,no data,,no data
288,no data,no data,no data,no data,no data,no data
289,Sanchez,Jamaica,Kingston,1964-11-30,,male
290,Plaza Francia,France,no data,no data,,no data
291,The Beatles,United Kingdom,Liverpool,1960,True,no data
292,Jennifer Lopez,United States,The Bronx,1969-07-24,,female
293,Nhii,no data,no data,no data,,no data
294,Sailawway,no data,no data,no data,,no data
295,Kenya Grace,United Kingdom,South Africa,no data,,female
296,Brray,Puerto Rico,no data,1992-09-19,,male
297,Restavrant,United States,Los Angeles,no data,,no data
298,Cheo Feliciano,Puerto Rico,Ponce,1935-07-03,True,male
299,Maluma,Colombia,Medellín,1994-01-28,,male
300,Abraham Dorta,Arecibo,Puerto Rico,no data,,male
301,Jonna Torres,Puerto Rico,San Juan,1993-10-27,,male
302,Dua Lipa,England,London,1995-08-22,,female
303,Café Tacvba,Mexico,Ciudad Satélite,1989,,no data
304,no data,no data,no data,no data,no data,no data
305,Sun Ra,United States,Birmingham,1914-05-22,True,male
306,Christian Nodal,Mexico,Sonora,1999-01-11,,male
307,MPeach,Caracas,no data,no data,,female
308,Bret Schneider,United States,Cleveland,1981,,male
309,Tokischa,Dominican Republic,Puerto Plata,1996-03-17,,female
310,Samuel Sagan,no data,no data,no data,,male
311,Sueco,United States,Los Angeles,1997-01-28,,male
312,no data,no data,no data,no data,no data,no data
313,The Nobility,United States,Nashville,2006,,no data
314,Orlando Contreras,no data,Cuba,1930-05-22,True,male
315,Renn,no data,no data,no data,,no data
316,Joey Montana,Panama,Chiriquí,1982-05-03,,male
