,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
88,STARSET,Waiting On The Sky To Change,track,Waiting On The Sky To Change,1,2022-08-19
89,Whiskey Myers,John Wayne,track,Tornillo,12,2022-07-29
90,Surfer Girl,Evil,track,Sunrise,13,2022-09-16
91,RADWIMPS,Suzume,track,Suzume (Motion Picture Soundtrack),29,2022-11-10
92,Walker Hayes,U Gurl,track,Country Stuff The Album,13,2022-01-21
93,We Came As Romans,Daggers,track,Darkbloom,10,2022-10-14
94,Jon Pardi,Last Night Lonely,track,Last Night Lonely,1,2022-02-17
95,Three Days Grace,Lifetime,track,EXPLOSIONS,12,2022-05-06
96,Polyphia,Bloodbath (feat. Chino Moreno),track,Remember That You Will Die,12,2022-10-28
97,The Hip Abduction,Pacific Coast Highway (with Trevor Hall) - Reggae Remix,track,Pacific Coast Highway (with Trevor Hall) [Reggae Remix],2,2022-07-29
98,The Movement,Sounds Of Summer (with Slightly Stoopid),track,Always With Me,15,2022-07-29
99,Måneskin,THE LONELIEST,track,THE LONELIEST,1,2022-10-07
100,Florence + The Machine,King,track,Dance Fever,14,2022-05-13
101,Ben Rector,Living My Best Life,track,The Joy of Music,13,2022-03-11
102,Ghost,Darkness At The Heart Of My Love,track,IMPERA,12,2022-03-11
103,Måneskin,SUPERMODEL,track,SUPERMODEL,1,2022-05-13
104,Bring Me The Horizon,sTraNgeRs,track,sTraNgeRs,1,2022-07-06
105,The Lumineers,BRIGHTSIDE,track,BRIGHTSIDE,9,2022-01-14
106,Chris Lane,Dancin' In The Moonlight (feat. Lauren Alaina),track,Dancin' In The Moonlight (feat. Lauren Alaina),1,2022-05-20
107,We Came As Romans,Darkbloom,track,Darkbloom,1,2022-04-20
108,Florence + The Machine,Dream Girl Evil,track,Dance Fever,14,2022-05-13
109,Gorillaz,Cracker Island (feat. Thundercat),track,Cracker Island (feat. Thundercat),1,2022-06-22
110,Maná,Te Lloré Un Río,track,Te Lloré Un Río,2,2022-02-25
111,Milky Chance,Synchronize,track,Trip Tape II,12,2022-10-05
112,Big Thief,Certainty,track,Dragon New Warm Mountain I Believe In You,20,2022-02-11
113,I AM THEY,Gratitude (feat. Cheyenne Mitchell),track,Gratitude (feat. Cheyenne Mitchell),1,2022-03-11
114,Micah Tyler,I See Grace,track,I See Grace,1,2022-06-24
115,Sanctus Real,Won't Let Me Go,track,Won't Let Me Go,5,2022-04-22
116,Dominic Fike,"Elliot's Song - From ""Euphoria"" An HBO Original Series",track,"Elliot's Song (From ""Euphoria"" An HBO Original Series)",1,2022-03-04
117,The 1975,Looking For Somebody (To Love),track,Being Funny In A Foreign Language,11,2022-10-14
118,Surfer Girl,Two (with The Hip Abduction),track,Sunrise,13,2022-09-16
