,genero_musica,artista,listeners,playcount,biografia,artistas_similares
35,hiphop,Evening Stroll,9309,17207," <a href=""https://www.last.fm/music/Evening+Stroll"">Read more on Last.fm</a>","['Yuxiang', 'Seatt', 'BANKER', 'KW-Boss']"
36,hiphop,Ty Dolla $ign,1234745,21367804,"Tyrone Griffin (born April 13, 1982), better known by his stage name Ty Dolla Sign (stylized as Ty Dolla $ign or Ty$), is an American singer, rapper and producer from Los Angeles, California. He is currently signed to Wiz Khalifa's Taylor Gang Records and Atlantic Records.

The son of a musician from Lakeside, Ty Dolla $ign originally began his career in music by learning the bass guitar. Since then, he has learned several instruments, from the drums, guitars, and keyboard to the MPC. <a href=""https://www.last.fm/music/Ty+Dolla+$ign"">Read more on Last.fm</a>","['Big Sean', 'DJ Khaled', 'Kid Ink', 'YG']"
37,hiphop,NF,1017129,70629574,"NF is the stage name of rapper and composer Nate Feuerstein from Gladwin, Michigan. Feuerstein endured a hardship-filled childhood in which his parents divorced, his mother's boyfriend physically abused him, and his mother eventually killed herself. Music was his escape, and he began recording songs on a karaoke machine, with instrumentals on one microphone and his raps in the other. Placing second in a nationwide Fine Arts Festival rap competition in 2008 <a href=""https://www.last.fm/music/NF"">Read more on Last.fm</a>","['Witt Lowry', 'Ivan B', 'Lucidious', 'Joyner Lucas']"
38,hiphop,Mike,566627,23954315,"There are multiple artists using this name:

1. MIKE (born Michael Jordan Bonema on October 13th, 1998) is a rapper originally from New Jersey but currently based out of New York City. He usually drops his projects on either of the solstices (June 21st or December 21st) each year.

2. MIKE is a punk rock band from Stockholm, Sweden.

MIKE started in January 2006 by Joel, Fredrik, Viktor and Jesper. The four guys from the southern part of Stockholm/Sweden had all played in different bands for years. <a href=""https://www.last.fm/music/Mike"">Read more on Last.fm</a>","['DJ BlackPower', 'Navy Blue', 'Niontay', 'Armand Hammer']"
39,hiphop,Kodak Black,1361623,72581365,"Bill Kahan Kapri (born as Dieuson Octave) , (born June 11, 1997), better known by his stage name Kodak Black, is an American rapper from Pompano Beach, Florida, United States. He burst onto the scene at a young age when his single ""No Flockin"" made the rounds in 2014. He eventually released his breakthrough commercial mixtape, Lil Big Pac, in 2016. His debut album, Painting Pictures, released in 2017, with the single ""Tunnel Vision"", which reached the top 10 of the Billboard Hot 100. <a href=""https://www.last.fm/music/Kodak+Black"">Read more on Last.fm</a>","['Jackboy', 'Pooh Shiesty', 'HotBoii', 'Young Dolph']"
40,hiphop,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
41,hiphop,NLE Choppa,1035296,37744519,"Memphis teen rap sensation NLE Choppa has seen his circumstances change with the swiftness. He began freestyling with his friends at 14, started taking it seriously at age 15 and had millions of views and major-label interest shortly after his 16th birthday. He first got his buzz from ""No Chorus Pt. 3,"" a song and video from his crew Shotta Fam on which Choppa kicks off the song off and steals the show.
Since it's release in early January, NLE Choppa's ""Shotta Flow"" video has amassed more than 12 million views in nearly six weeks. <a href=""https://www.last.fm/music/NLE+Choppa"">Read more on Last.fm</a>","['Polo G', 'DaBaby', 'Lil Loaded', 'King Von']"
42,hiphop,konb,1664,4432," <a href=""https://www.last.fm/music/konb"">Read more on Last.fm</a>","['Ar Kay', 'Loockey', 'Amani Reid', 'Cozy Couch']"
43,hiphop,sleeping with shoes on,2764,7023," <a href=""https://www.last.fm/music/sleeping+with+shoes+on"">Read more on Last.fm</a>","['Nilok', 'Kaidon Roddy', 'jakuub', 'Slify']"
45,hiphop,Aesop Rock,739543,34527627,"Aesop Rock (born Ian Bavitz on June 5, 1976) is an alternative hip hop artist/producer from Long Island, New York, United States. He has released ten albums: ""Music for Earthworms"" (1997), ""Float"" (1999), ""Labor Days"" (2001), ""Bazooka Tooth"" (2003),  ""None Shall Pass"" (2007), ""Skelethon"" (2012), ""The Impossible Kid"" (2016), and ""Spirit World Field Guide"" (2020), ""Garbology"" (2021), and ""Integrated Tech Solutions"" (2023).  He is also a member of the groups Hail Mary Mallon, The Weathermen, Two of Every Animal and The Uncluded. <a href=""https://www.last.fm/music/Aesop+Rock"">Read more on Last.fm</a>","['Hail Mary Mallon', 'Rob Sonic', 'Malibu Ken', 'El-P']"
